"year","variable_name","value"
2005,"Number of exposures (median)",5
2005,"Time to exposure (median, days)",2963
2005,"Number of eras (median)",1
2005,"Days exposed (median)",42
2005,"Days prescribed (median)",42
2006,"Number of exposures (median)",5
2006,"Time to exposure (median, days)",2040
2006,"Number of eras (median)",1
2006,"Days exposed (median)",55
2006,"Days prescribed (median)",56
2007,"Number of exposures (median)",5
2007,"Time to exposure (median, days)",2148
2007,"Number of eras (median)",1
2007,"Days exposed (median)",42
2007,"Days prescribed (median)",43
2008,"Number of exposures (median)",4
2008,"Time to exposure (median, days)",1591
2008,"Number of eras (median)",1
2008,"Days exposed (median)",40
2008,"Days prescribed (median)",40
2009,"Number of exposures (median)",4
2009,"Time to exposure (median, days)",1373
2009,"Number of eras (median)",1
2009,"Days exposed (median)",37
2009,"Days prescribed (median)",40
2010,"Number of exposures (median)",5
2010,"Time to exposure (median, days)",1345
2010,"Number of eras (median)",1
2010,"Days exposed (median)",39
2010,"Days prescribed (median)",42
2011,"Number of exposures (median)",4
2011,"Time to exposure (median, days)",845
2011,"Number of eras (median)",1
2011,"Days exposed (median)",41
2011,"Days prescribed (median)",40
2012,"Number of exposures (median)",5
2012,"Time to exposure (median, days)",918
2012,"Number of eras (median)",1
2012,"Days exposed (median)",34
2012,"Days prescribed (median)",35
2013,"Number of exposures (median)",4
2013,"Time to exposure (median, days)",716
2013,"Number of eras (median)",1
2013,"Days exposed (median)",24
2013,"Days prescribed (median)",27
2014,"Number of exposures (median)",4
2014,"Time to exposure (median, days)",378
2014,"Number of eras (median)",1
2014,"Days exposed (median)",28
2014,"Days prescribed (median)",28
2015,"Number of exposures (median)",5
2015,"Time to exposure (median, days)",166
2015,"Number of eras (median)",1
2015,"Days exposed (median)",28
2015,"Days prescribed (median)",28
2016,"Number of exposures (median)",5
2016,"Time to exposure (median, days)",84
2016,"Number of eras (median)",1
2016,"Days exposed (median)",24
2016,"Days prescribed (median)",28
2017,"Number of exposures (median)",4
2017,"Time to exposure (median, days)",17
2017,"Number of eras (median)",1
2017,"Days exposed (median)",19
2017,"Days prescribed (median)",24
2018,"Number of exposures (median)",4
2018,"Time to exposure (median, days)",16
2018,"Number of eras (median)",1
2018,"Days exposed (median)",18
2018,"Days prescribed (median)",21
2019,"Number of exposures (median)",4
2019,"Time to exposure (median, days)",3
2019,"Number of eras (median)",1
2019,"Days exposed (median)",21
2019,"Days prescribed (median)",23
2020,"Number of exposures (median)",4
2020,"Time to exposure (median, days)",2
2020,"Number of eras (median)",1
2020,"Days exposed (median)",14
2020,"Days prescribed (median)",17
2021,"Number of exposures (median)",4
2021,"Time to exposure (median, days)",0
2021,"Number of eras (median)",1
2021,"Days exposed (median)",14
2021,"Days prescribed (median)",18
2022,"Number of exposures (median)",3
2022,"Time to exposure (median, days)",1
2022,"Number of eras (median)",1
2022,"Days exposed (median)",14
2022,"Days prescribed (median)",14
2023,"Number of exposures (median)",4
2023,"Time to exposure (median, days)",0
2023,"Number of eras (median)",1
2023,"Days exposed (median)",16
2023,"Days prescribed (median)",18
