"year","n_prescriptions","n_patients","rx_per_patient"
2005,4860,760,6.39473684210526
2006,5371,761,7.05781865965834
2007,6099,850,7.17529411764706
2008,6555,1022,6.41389432485323
2009,8282,1412,5.86543909348442
2010,9799,1623,6.03758471965496
2011,9937,1751,5.67504283266705
2012,20459,3002,6.81512325116589
2013,21200,3057,6.93490350016356
2014,21488,3237,6.6382452888477
2015,25371,3612,7.02408637873754
2016,27996,3871,7.23223973133557
2017,28532,4095,6.96752136752137
2018,29568,4353,6.79255685733977
2019,29107,4282,6.79752452125175
2020,30458,4470,6.81387024608501
2021,27458,4234,6.48512045347189
2022,25973,4020,6.46094527363184
2023,20061,3556,5.64145106861642
