"year","gender_concept_id","n_prescriptions","n_patients","rx_per_patient","Sex"
2005,8507,2526,396,6.37878787878788,"Male"
2005,8532,2334,364,6.41208791208791,"Female"
2006,8507,2797,397,7.04534005037783,"Male"
2006,8532,2574,364,7.07142857142857,"Female"
2007,8507,3345,454,7.36784140969163,"Male"
2007,8532,2754,396,6.95454545454545,"Female"
2008,8507,3580,547,6.54478976234004,"Male"
2008,8532,2975,475,6.26315789473684,"Female"
2009,8507,4751,775,6.13032258064516,"Male"
2009,8532,3531,637,5.54317111459969,"Female"
2010,8507,5371,865,6.20924855491329,"Male"
2010,8532,4428,758,5.84168865435356,"Female"
2011,8507,5394,936,5.76282051282051,"Male"
2011,8532,4543,815,5.57423312883436,"Female"
2012,8507,11248,1614,6.96902106567534,"Male"
2012,8532,9211,1388,6.63616714697406,"Female"
2013,8507,11434,1596,7.16416040100251,"Male"
2013,8532,9766,1461,6.68446269678302,"Female"
2014,8507,11796,1758,6.7098976109215,"Male"
2014,8532,9692,1479,6.55307640297498,"Female"
2015,8507,13912,1957,7.10884006131834,"Male"
2015,8532,11459,1655,6.9238670694864,"Female"
2016,8507,15326,2131,7.19192867198498,"Male"
2016,8532,12670,1740,7.2816091954023,"Female"
2017,8507,15747,2235,7.04563758389262,"Male"
2017,8532,12785,1860,6.87365591397849,"Female"
2018,8507,16162,2337,6.91570389388104,"Male"
2018,8532,13406,2016,6.64980158730159,"Female"
2019,8507,16028,2310,6.93852813852814,"Male"
2019,8532,13079,1972,6.63235294117647,"Female"
2020,8507,17076,2420,7.05619834710744,"Male"
2020,8532,13382,2050,6.52780487804878,"Female"
2021,8507,15261,2348,6.49957410562181,"Male"
2021,8532,12197,1886,6.46712619300106,"Female"
2022,8507,14546,2216,6.56407942238267,"Male"
2022,8532,11427,1804,6.33425720620843,"Female"
2023,8507,11093,1972,5.62525354969574,"Male"
2023,8532,8968,1584,5.66161616161616,"Female"
