"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder","count","integer","333","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder","percentage","percentage","3.86266","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","epilepsy","count","integer","362","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","epilepsy","percentage","percentage","4.19905","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","migraine","count","integer","113","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","migraine","percentage","percentage","1.31075","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and epilepsy","count","integer","1","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and epilepsy","percentage","percentage","0.01160","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and migraine","count","integer","1","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and migraine","percentage","percentage","0.01160","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","epilepsy and migraine","count","integer","5","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","epilepsy and migraine","percentage","percentage","0.05800","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and epilepsy and migraine","count","integer","0","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","bipolar_disorder and epilepsy and migraine","percentage","percentage","0","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","unknown","count","integer","7183","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","unknown","percentage","percentage","83.31980","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","none","count","integer","623","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","none","percentage","percentage","7.22654","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","not in observation","count","integer","0","window_name","-30 to 0"
1,"TMUCRD","cohort_name","valproate","overall","overall","Indication from 30 days before to the index date","not in observation","percentage","percentage","0","window_name","-30 to 0"
