"year","n_prescriptions","n_total","rate_per_1000"
2005,4860,96077,50.5844270741176
2006,5371,138112,38.8887279888786
2007,6099,167322,36.4506759421953
2008,6555,191093,34.3026693808774
2009,8282,230767,35.8890135937981
2010,9799,301782,32.4704588080137
2011,9937,356150,27.9011652393654
2012,20459,396652,51.5792180551214
2013,21200,492771,43.0220122531561
2014,21488,543372,39.5456519658724
2015,25371,576026,44.0448868627458
2016,27996,598594,46.7695967550627
2017,28532,606917,47.011370582798
2018,29568,602996,49.0351511452812
2019,29107,586263,49.6483660063828
2020,30458,559287,54.4586232113387
2021,27458,529988,51.8087201974384
2022,25973,490725,52.9278108920475
2023,20061,361185,55.5421736783089
