"Year","N total patients (both)","N valproate users (both)","Rate of valproate use (both)"
2005,96077,1180,0.01228
2006,138112,1511,0.01094
2007,167322,1752,0.01047
2008,191093,1901,0.00995
2009,230767,2323,0.01007
2010,301782,2986,0.00989
2011,356150,3343,0.00939
2012,396652,3564,0.00899
2013,492771,4152,0.00843
2014,543372,4287,0.00789
2015,576026,4310,0.00748
2016,598594,4264,0.00712
2017,606917,4146,0.00683
2018,602996,3997,0.00663
2019,586263,3811,0.0065
2020,559287,3598,0.00643
2021,529988,3278,0.00619
2022,490725,2879,0.00587
2023,361185,2321,0.00643
NA,NA,NA,NA
